Metric;Mean;Std;Min;Max
val_auc_mean;0,6164;0,0085;0,6077;0,6284
test_auc_global;0,6233;0,0044;0,6201;0,6305
test_accuracy;0,5831;0,0057;0,5779;0,5903
test_balanced_acc;0,5825;0,0055;0,5768;0,5893
test_f1_macro;0,5813;0,0055;0,5745;0,5873
CAGR_Strategy;0,08;0,0051;0,0754;0,0886
Ann_Return_Strategy;0,0837;0,0049;0,0789;0,092
Ann_Vol_Strategy;0,116;0,0028;0,1115;0,1184
Sharpe_Strategy;0,721;0,032;0,7027;0,7777
MDD_Strategy;0,2224;0,019;0,1984;0,2516
Skewness_Strategy;-0,5395;0,0874;-0,6844;-0,4719
Kurtosis_Strategy;6,1427;1,8774;3,6158;8,5465
Delta_Util_Strategy;1,6771;0,3796;1,463;2,3502
BSS;0,0403;0,0038;0,0353;0,0452
R2_OOS;-0,0205;0,0073;-0,0306;-0,0106
Turnover_Ann;14,982;0,5258;14,2177;15,6564
Total_Costs;5,9898;0,2102;5,6843;6,2595
