config_idx;config;trainable_params;val_auc_mean;val_auc_std;test_auc_mean;test_auc_std
10;{'d_model': 32, 'nhead': 4, 'num_layers': 2, 'dim_feedforward': 64, 'dense_dim': 16, 'dropout': 0.3};18273;0.6163871566178328;0.008519190940760198;0.6233287889004278;0.004356622618076008
8;{'d_model': 32, 'nhead': 2, 'num_layers': 2, 'dim_feedforward': 64, 'dense_dim': 8, 'dropout': 0.2};18001;0.6139165615153115;0.010853451778028708;0.6251409840583919;0.002977496131847772
3;{'d_model': 32, 'nhead': 2, 'num_layers': 1, 'dim_feedforward': 32, 'dense_dim': 8, 'dropout': 0.2};7377;0.609754686881802;0.01401490470488516;0.6178798990053106;0.00596484497166625
9;{'d_model': 32, 'nhead': 4, 'num_layers': 2, 'dim_feedforward': 64, 'dense_dim': 16, 'dropout': 0.2};18273;0.6087243670800414;0.012593814040639861;0.6261064381653616;0.005797226046725328
7;{'d_model': 48, 'nhead': 4, 'num_layers': 1, 'dim_feedforward': 64, 'dense_dim': 16, 'dropout': 0.2};17617;0.6058022338771949;0.009052460740448064;0.6178512543126996;0.007251534000150618
5;{'d_model': 32, 'nhead': 4, 'num_layers': 1, 'dim_feedforward': 64, 'dense_dim': 16, 'dropout': 0.3};9729;0.6052892539451299;0.011130447846337132;0.6219062009361205;0.004196499809203904
4;{'d_model': 32, 'nhead': 2, 'num_layers': 1, 'dim_feedforward': 64, 'dense_dim': 16, 'dropout': 0.2};9729;0.6038685329622957;0.009765187604980479;0.6205420835814726;0.007107967601503177
6;{'d_model': 32, 'nhead': 4, 'num_layers': 1, 'dim_feedforward': 128, 'dense_dim': 16, 'dropout': 0.2};13889;0.6010049809351747;0.007022782210301313;0.6230776802720753;0.0021630730165141227
2;{'d_model': 16, 'nhead': 2, 'num_layers': 1, 'dim_feedforward': 32, 'dense_dim': 8, 'dropout': 0.2};2689;0.5996743522585242;0.004400537515279741;0.6191537511258545;0.007269571700490187
1;{'d_model': 16, 'nhead': 1, 'num_layers': 1, 'dim_feedforward': 32, 'dense_dim': 8, 'dropout': 0.2};2689;0.5977029664453735;0.006811713238842821;0.6192871310519296;0.009109360017130076
