Metric;Mean;Std;Min;Max
val_auc_mean;0,6053;0,0064;0,5987;0,6135
test_auc_global;0,6077;0,01;0,5906;0,6153
test_accuracy;0,5756;0,0133;0,564;0,5982
test_balanced_acc;0,5755;0,0136;0,564;0,5984
test_f1_macro;0,5733;0,0149;0,5602;0,5982
CAGR_Strategy;0,0858;0,0088;0,0737;0,0929
Ann_Return_Strategy;0,0891;0,0085;0,0772;0,0962
Ann_Vol_Strategy;0,1164;0,0058;0,1093;0,1222
Sharpe_Strategy;0,7651;0,0581;0,7057;0,8484
MDD_Strategy;0,2156;0,0317;0,1775;0,2561
Skewness_Strategy;-0,5587;0,155;-0,7336;-0,3224
Kurtosis_Strategy;4,5434;0,7779;3,6411;5,418
Delta_Util_Strategy;2,1865;0,6625;1,4788;3,09
BSS;0,0341;0,0058;0,0248;0,0403
R2_OOS;-0,0075;0,0053;-0,0139;-0,0032
Turnover_Ann;9,1174;0,7565;8,1504;10,2304
Total_Costs;3,6452;0,3025;3,2585;4,0901
