config_idx;config;trainable_params;val_auc_mean;val_auc_std;test_auc_mean;test_auc_std
7;{'num_layers': 2, 'hidden_dim': 16, 'dense_dim': 8, 'dropout': 0.2};3553;0.6107453699103954;0.010156277451571267;0.6124248076818962;0.0073508455325531795
1;{'num_layers': 1, 'hidden_dim': 16, 'dense_dim': 8, 'dropout': 0.2};1921;0.6102593101193984;0.008380569374380132;0.6041383213816388;0.01572140332769699
5;{'num_layers': 1, 'hidden_dim': 64, 'dense_dim': 16, 'dropout': 0.2};17377;0.6062575146004635;0.007202187468748835;0.6190726403811417;0.00558519618288594
6;{'num_layers': 1, 'hidden_dim': 64, 'dense_dim': 32, 'dropout': 0.3};18433;0.6035817795890848;0.00799656302257167;0.6204979845358034;0.002902812357387661
8;{'num_layers': 2, 'hidden_dim': 32, 'dense_dim': 8, 'dropout': 0.2};11697;0.6035223532783099;0.008831636831926311;0.615487722648502;0.007992322722522904
11;{'num_layers': 2, 'hidden_dim': 40, 'dense_dim': 8, 'dropout': 0.2};17497;0.6020057340749853;0.00950703668086258;0.6172017777427785;0.009612585503723231
2;{'num_layers': 1, 'hidden_dim': 32, 'dense_dim': 8, 'dropout': 0.2};5361;0.6009349360075963;0.01565898485389451;0.6156553580832664;0.008446263020693985
12;{'num_layers': 2, 'hidden_dim': 64, 'dense_dim': 16, 'dropout': 0.3};42337;0.6005418412887391;0.004678922531618927;0.6219267739284079;0.003676497704312221
4;{'num_layers': 1, 'hidden_dim': 32, 'dense_dim': 16, 'dropout': 0.3};5633;0.5997996764026714;0.0045901054106627865;0.6156059435276283;0.007623672022269077
3;{'num_layers': 1, 'hidden_dim': 32, 'dense_dim': 16, 'dropout': 0.2};5633;0.5986390166405999;0.004067303611746219;0.6152421264008583;0.004864545253455768
10;{'num_layers': 2, 'hidden_dim': 32, 'dense_dim': 16, 'dropout': 0.3};11969;0.5960280184939062;0.011176161961808593;0.6127430492324502;0.007469442088034621
9;{'num_layers': 2, 'hidden_dim': 32, 'dense_dim': 16, 'dropout': 0.2};11969;0.5952033893349392;0.01031855466178065;0.6124842626452537;0.006443021200364882
