Metric;Mean;Std;Min;Max
val_auc_mean;0,6243;0,0133;0,6082;0,6447
test_auc_global;0,6085;0,0117;0,5949;0,6233
test_accuracy;0,5707;0,0112;0,5551;0,5818
test_balanced_acc;0,5707;0,0112;0,5551;0,5819
test_f1_macro;0,5707;0,0112;0,555;0,5818
CAGR_Strategy;0,0792;0,0109;0,0638;0,0937
Ann_Return_Strategy;0,0823;0,0104;0,0673;0,0956
Ann_Vol_Strategy;0,1106;0,0052;0,1038;0,1182
Sharpe_Strategy;0,7442;0,085;0,6479;0,8742
MDD_Strategy;0,1963;0,0241;0,1699;0,222
Skewness_Strategy;-0,579;0,1259;-0,7874;-0,4639
Kurtosis_Strategy;4,3966;1,0894;3,1541;5,6786
Delta_Util_Strategy;1,9081;0,9282;0,8421;3,3206
BSS;0,0354;0,0055;0,0302;0,0412
R2_OOS;-0,0076;0,0068;-0,0175;-0,0015
Turnover_Ann;9,1227;0,6617;8,3931;9,9192
Total_Costs;3,6473;0,2646;3,3556;3,9657
