Metric;Mean;Std;Min;Max
val_auc_mean;0,6104;0,011;0,5956;0,6222
test_auc_global;0,6137;0,0039;0,6082;0,6172
test_accuracy;0,5755;0,0119;0,565;0,5957
test_balanced_acc;0,5755;0,0119;0,565;0,5958
test_f1_macro;0,5755;0,0119;0,565;0,5957
CAGR_Strategy;0,0817;0,0094;0,0726;0,096
Ann_Return_Strategy;0,0861;0,0091;0,0775;0,0999
Ann_Vol_Strategy;0,1227;0,0035;0,1181;0,1277
Sharpe_Strategy;0,7005;0,0566;0,6397;0,7817
MDD_Strategy;0,2507;0,0047;0,243;0,2544
Skewness_Strategy;-0,5908;0,0505;-0,6646;-0,5388
Kurtosis_Strategy;6,9265;0,851;5,9435;8,2689
Delta_Util_Strategy;1,4369;0,6944;0,696;2,4392
BSS;0,0392;0,0011;0,0384;0,0411
R2_OOS;-0,0123;0,0061;-0,0213;-0,0065
Turnover_Ann;14,4011;0,7386;13,3806;15,4198
Total_Costs;5,7576;0,2953;5,3496;6,1649
